id,name
0,Albania
1,Austria
2,Belgium
3,Croatia
4,Czech Republic
5,England
6,France
7,Germany
8,Hungary
9,Iceland
10,Ireland
11,Italy
12,Northern Ireland
13,Poland
14,Portugal
15,Romania
16,Russia
17,Slovakia
18,Spain
19,Sweden
20,Switzerland
21,Turkey
22,Ukraine
23,Wales
